name,artist,rank,weeks
All I Want For Christmas Is You,Mariah Carey,1,50
Rockin' Around The Christmas Tree,Brenda Lee,2,44
Jingle Bell Rock,Bobby Helms,3,41
A Holly Jolly Christmas,Burl Ives,4,25
Easy On Me,Adele,5,11
It's The Most Wonderful Time Of The Year,Andy Williams,6,26
Last Christmas,Wham!,7,24
Feliz Navidad,Jose Feliciano,8,19
Stay,The Kid LAROI,9,24
Sleigh Ride,The Ronettes,10,15
The Christmas Song (Merry Christmas To You),Nat King Cole,11,31
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,12,18
Underneath The Tree,Kelly Clarkson,13,14
Broadway Girls,Lil Durk,14,1
Heat Waves,Glass Animals,15,49
Christmas (Baby Please Come Home),Darlene Love,16,11
It's Beginning To Look A Lot Like Christmas,Perry Como,17,11
Santa Tell Me,Ariana Grande,18,12
Rudolph The Red-Nosed Reindeer,Gene Autry,19,16
Happy Holiday / The Holiday Season,Andy Williams,20,12
White Christmas,Bing Crosby,21,24
Industry Baby,Lil Nas X,22,22
Shivers,Ed Sheeran,23,15
Need To Know,Doja Cat,24,28
Run Rudolph Run,Chuck Berry,25,13
Super Gremlin,Kodak Black,26,7
abcdefu,GAYLE,27,5
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers,28,11
Cold Heart (PNAU Remix),Elton John,29,16
It's Beginning To Look A Lot Like Christmas,Michael Buble,30,9
Bad Habits,Ed Sheeran,31,26
Smokin Out The Window,Silk Sonic,32,7
Jingle Bells,Frank Sinatra,33,3
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,34,4
Santa Baby,Eartha Kitt With Henri Rene,35,2
Wonderful Christmastime,Paul McCartney,36,6
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,37,1
Good 4 U,Olivia Rodrigo,38,32
Ghost,Justin Bieber,39,13
Please Come Home For Christmas,Eagles,40,10
Santa Claus Is Comin' To Town,Jackson 5,41,2
I Hate U,SZA,42,3
Little Saint Nick,The Beach Boys,43,2
Mistletoe,Justin Bieber,44,12
Fancy Like,Walker Hayes,45,27
Deck The Halls,Nat King Cole,46,3
Have Yourself A Merry Little Christmas,Michael Buble,47,2
Christmastime Is Here,Vince Guaraldi Trio,48,1
Thats What I Want,Lil Nas X,49,14
One Right Now,Post Malone,50,7
Happier Than Ever,Billie Eilish,51,21
Love Nwantiti (Ah Ah Ah),CKay,52,14
Knife Talk,Drake,53,16
Thinking 'Bout You,Dustin Lynch,54,19
Merry Christmas,Ed Sheeran,55,3
Better Days,NEIKED X Mae Muller X Polo G,56,10
Oh My God,Adele,57,5
Way 2 Sexy,Drake,58,16
Buy Dirt,Jordan Davis,59,20
Meet Me At Our Spot,THE ANXIETY: WILLOW,60,15
You Should Probably Leave,Chris Stapleton,61,25
Christmas Tree Farm (Old Timey Version),Taylor Swift,62,4
Pick Out A Christmas Tree,Dan + Shay,63,4
Whiskey And Rain,Michael Ray,64,12
Girls Want Girls,Drake,65,16
Sand In My Boots,Morgan Wallen,66,23
Who Want Smoke??,Nardo Wick,67,11
All Too Well (Taylor's Version),Taylor Swift,68,6
Big Energy,Latto,69,9
Enemy,Imagine Dragons X JID,70,5
I'll Be Home For Christmas,Camila Cabello,71,3
Chosen,Blxst,72,13
One Mississippi,Kane Brown,73,13
Burn,Juice WRLD,74,2
Have Mercy,Chloe,75,15
Woman,Doja Cat,76,21
25 Million,Roddy Ricch,77,1
By Your Side,Rod Wave,78,4
Christmas Isn't Canceled (Just You),Kelly Clarkson,79,1
For Tonight,Giveon,80,12
Life Goes On,Oliver Tree,81,3
'Til You Can't,Cody Johnson,82,11
To Be Loved By You,Parker McCollum,83,4
My Universe,Coldplay x BTS,84,13
Moved To Miami,Roddy Ricch,85,1
Freedom Was A Highway,Jimmie Allen,86,11
Wandered To LA.,Juice WRLD,87,3
Already Dead,Juice WRLD,88,5
Tequila Little Time,Jon Pardi,89,11
Scorpio,Moneybagg Yo,90,5
Hibachi,Roddy Ricch,91,1
Heart On Fire,Eric Church,92,5
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,93,6
Same Boat,Zac Brown Band,94,14
Thailand,Roddy Ricch,95,1
